Twitter Shares,Human readable,,,,,,,,,,,,,Diagramm Data,,,,,
,14/01,14/02,14/03,14/04,14/05,14/06,14/07,14/08,14/09,14/10,14/11,14/12,,,,,,,
bbc.co.uk,2704107,2481114,2714705,2866354,3123577,3245304,3556637,3392030,3789897,4020105,3960272,3751694,,,,,,,
nytimes.com,,1280818,1836429,1997272,2112842,2284778,2476791,2354626,2420402,2597804,2221533,2179163,,,bbc.co.uk,nytimes.com,mashable.com,abcnews.com,cnn.com
mashable.com,1421044,1459562,1655541,1829419,1767630,1834040,1951710,1656521,1856563,1816282,1775751,1600099,,14/01,2704107,,1421044,790662,1178810
abcnews.com,790662,1149334,1759073,1558928,1623797,1803100,1906837,1677643,1667659,1364784,1279177,1060136,,14/02,2481114,1280818,1459562,1149334,1155358
cnn.com,1178810,1155358,1207393,1246775,1245418,1169156,1385019,1307342,1352330,1532395,1273525,965922,,14/03,2714705,1836429,1655541,1759073,1207393
theguardian.com,,1066489,1156510,1130401,1225781,1324385,1419686,1265721,1370076,1510690,1350454,1188490,,14/04,2866354,1997272,1829419,1558928,1246775
huffingtonpost.com,958699,720629,854134,771351,834435,933237,1142282,1136686,1122685,1169717,1021940,900251,,14/05,3123577,2112842,1767630,1623797,1245418
forbes.com,797548,812845,961547,892681,958192,1028389,1112241,1128849,1176191,1101766,778152,752225,,14/06,3245304,2284778,1834040,1803100,1169156
bleacherreport.com,582378,565630,681525,724889,741375,842778,843379,827064,1087681,1117292,1178571,1035551,,14/07,3556637,2476791,1951710,1906837,1385019
foxnews.com,587263,539816,680896,824226,831383,921001,947970,961409,967207,1036148,992609,874266,,14/08,3392030,2354626,1656521,1677643,1307342
buzzfeed.com,756408,799923,811576,839125,738144,740428,992598,849727,856900,896601,860514,819699,,14/09,3789897,2420402,1856563,1667659,1352330
nbcnews.com,604614,639664,778958,750495,718125,745722,859846,894472,954239,952660,925409,873504,,14/10,4020105,2597804,1816282,1364784,1532395
yahoo.com,,567729,662823,587271,669149,766928,898508,1001997,838440,818035,773326,575336,,14/11,3960272,2221533,1775751,1279177,1273525
dailymail.co.uk,509892,476805,512076,535605,,652045,732723,669911,752186,687666,786280,626886,,14/12,3751694,2179163,1600099,1060136,965922
espn.com,440512,399434,501749,522877,531268,488321,578959,534060,759101,782170,689522,665529,,,,,,,
wsj.com,,559093,643315,630094,662579,684119,808982,772921,877666,903888,,,,,,,,,
businessinsider.com,458069,502405,537092,492312,469860,495077,545253,519757,594793,710489,564319,629656,,,,,,,
telegraph.co.uk,,501454,592653,,,,888507,890322,895292,936743,908918,821220,,,,,,,
washingtonpost.com,,387066,399938,409800,416799,506873,620329,734062,745501,801042,701444,643569,,,,,,,
The Independent,339359,,,391714,461106,445043,692636,672218,597918,745902,820948,671347,,,,,,,
The India Times,269002,,392904,527801,432944,445467,,508282,535623,540246,548334,526499,,,,,,,
usatoday.com,,382436,370602,413464,,428071,546571,590422,607384,642765,538293,,,,,,,,
time.com,,349773,436561,1146464,448055,496888,492437,513760,,,,,,,,,,,
MTV,195956,,,,427369,,494990,711517,,649020,538213,586404,,,,,,,
rt.com,240797,,,,,,571846,582014,,549224,567368,504069,,,,,,,
NDTV,217923,,,457325,423457,,,,646150,590942,,480320,,,,,,,
The LA Times,304475,,492805,420958,581927,522968,,,,,,,,,,,,,
gizmodo.com,344103,361223,384944,386958,,,,,,,,,,,,,,,
complex.com,,,,,,,,,,,568738,511619,,,,,,,
tmz.com,,,,,488797,,,,573364,,,,,,,,,,
breitbart.com,,,,,,415951,550091,,,,,,,,,,,,
theverge.com,,397478,387026,,,,,,,,,,,,,,,,
entrepreneur.com,195126,,,,,,,,506238,,,,,,,,,,
cnet.com,322604,344346,,,,,,,,,,,,,,,,,
Mail Online ,,,,,568576,,,,,,,,,,,,,,
cbsnews.com,,,,,,,,,,,486450,,,,,,,,
techcrunch.com,,458158,,,,,,,,,,,,,,,,,
fifa.com,,,,,,422801,,,,,,,,,,,,,
goal.com,353741,,,,,,,,,,,,,,,,,,
cbsnews.com,296051,,,,,,,,,,,,,,,,,,
bloomberg.com,204163,,,,,,,,,,,,,,,,,,
