Article Count,,,,,,,,,,,,,
,14/01,14/02,14/03,14/04,14/05,14/06,14/07,14/08,14/09,14/10,14/11,14/12,
abcnews.com,16010,15745,16607,22056,17406,13203,12930,11761,12656,13555,12080,11385,175394
bbc.co.uk,9512,8245,8738,10867,14442,14928,20953,22352,46796,38162,35176,29226,259397
bleacherreport.com,11407,9920,10504,9839,10446,10538,9476,8693,9239,9519,8854,7936,116371
breitbart.com,,,,,,3747,3737,,,,,,7484
businessinsider.com,3851,4703,3716,3400,3251,3528,3567,3931,5083,5488,4836,4542,49896
buzzfeed.com,3237,2737,2976,2905,3036,4026,4286,5112,5010,5590,5093,4437,48445
cnet.com,,1988,,,,,10557,,,,,,12545
cnn.com,6992,6171,6178,6372,8928,12001,,10076,9445,11392,9444,8716,95715
dailymail.co.uk,10680,9379,10407,10897,,18323,19038,17419,17238,19280,18391,16053,167105
entrepreneur.com,,,,,,,,,819,,,,819
espn.com,6346,5692,5910,5720,5359,4381,4898,5074,11836,14064,13290,12518,95088
fifa.com,,,,,,897,,,,,,,897
forbes.com,6031,5114,6025,6207,6082,6333,6955,6334,7034,7812,6315,6007,76249
foxnews.com,48811,46219,52655,54842,57688,66909,67806,65755,68217,72173,68174,62765,732014
gizmodo.com,2904,2577,2752,2685,,,,,,,,,10918
goal.com,6915,,,,,,,,,,,,6915
huffingtonpost.com,18135,16724,17357,16904,19205,26263,26556,24574,25172,24448,20483,17940,253761
Mail Online ,,,,,13724,,,,,,,,13724
mashable.com,1406,1404,1426,1645,1604,1771,1847,1698,1877,2156,1848,1653,20335
MTV,,,,,1348,,1778,1999,,2109,1783,1485,10502
nbcnews.com,16758,17298,20341,20394,22671,29662,35377,36084,39096,41619,38300,34124,351724
NDTV,,,,8755,10109,,,,9329,7631,,7047,42871
nytimes.com,7678,7127,8015,7853,9016,8990,9246,8637,9268,9416,8431,7704,101381
rt.com,,,,,,,1466,1283,,1919,1998,2089,8755
techcrunch.com,1123,1131,,,,,,,,,,,2254
telegraph.co.uk,9037,12942,13694,,,,15966,13613,14450,17795,17644,11598,126739
The Independent,,,,6231,6035,6840,6891,6616,6581,6751,6324,5459,57728
The India Times,,,22645,22240,23810,22431,,34342,36191,32484,34794,35108,264045
The LA Times,,,5167,4904,5788,5654,,,,,,,21513
theguardian.com,12152,11345,12425,11178,11521,12159,11787,11196,12025,12717,11959,10457,140921
theverge.com,,1068,917,,,,,,,,,,1985
time.com,2833,2786,2985,3076,3029,3491,3127,2672,,,,,23999
tmz.com,575,,,,896,,,,772,,,,2243
usatoday.com,6566,6559,8043,7953,,10066,12131,12058,12921,14486,12409,,103192
washingtonpost.com,7190,7041,7556,7791,8491,8466,8568,8830,9830,10195,8872,8023,100853
wsj.com,6885,6815,7415,8589,9476,8839,9080,7739,8629,9540,,,83007
yahoo.com,110930,89489,96437,110210,115957,122186,116116,110276,113889,119613,110424,94543,1310070
cbsnews.com,,,,,,,,,,,21920,,21920
complex.com,,,,,,,,,,,2675,2081,4756
billboard.com,,,,,,,,,,,,1157,1157
